599,Idaho,16,1991,54.01,37.93
600,Illinois,17,1991,62.97,45.74
601,Indiana,18,1991,62.73,46.68
602,Iowa,19,1991,58.55,40.66
603,Kansas,20,1991,69.42,47.27
604,Kentucky,21,1991,65.81,50.12
605,Louisiana,22,1991,75.61,59.96
606,Maine,23,1991,49.84,35.05
607,Maryland,24,1991,64.18,48.65
608,Massachusetts,25,1991,56.65,42.43
609,Michigan,26,1991,53.1,39.38
610,Minnesota,27,1991,51.3,34.35
611,Mississippi,28,1991,73.18,57.02
612,Missouri,29,1991,66.8,48.02
613,Montana,30,1991,54.32,37.33
614,Nebraska,31,1991,63.19,42.56
615,Nevada,32,1991,60.25,42.89
616,New Hampshire,33,1991,52.05,37.78
617,New Jersey,34,1991,62.53,46.61
618,New Mexico,35,1991,65.19,46.49
619,New York,36,1991,54.33,40.06
620,North Carolina,37,1991,68.99,52.94
621,North Dakota,38,1991,54.02,35.86
622,Ohio,39,1991,61.58,45.92
623,Oklahoma,40,1991,72.45,52.08
624,Oregon,41,1991,57.71,40.91
625,Pennsylvania,42,1991,58.88,43.22
626,Rhode Island,44,1991,59.13,44.06
627,South Carolina,45,1991,72.57,56.87
628,South Dakota,46,1991,59.33,40.47
629,Tennessee,47,1991,67.35,52.16
630,Texas,48,1991,76.9,57.5
631,Utah,49,1991,58.16,42.17
632,Vermont,50,1991,51.05,37.08
633,Virginia,51,1991,66.25,49.34
634,Washington,53,1991,55.83,40.93
635,West Virginia,54,1991,62.08,46.69
636,Wisconsin,55,1991,52.43,36.04
637,Wyoming,56,1991,53.13,36.41
638,Alabama,1,1992,71.16,54.5
639,Arizona,4,1992,70.39,52.83
640,Arkansas,5,1992,70.09,52.62
641,California,6,1992,69.91,50.45
642,Colorado,8,1992,56.23,38.17
643,Connecticut,9,1992,55.15,41.29
644,Delaware,10,1992,60.73,47.8
645,District of Columbia,11,1992,62.9,46.39
646,Florida,12,1992,79.04,64.03
647,Georgia,13,1992,71.72,55.54
648,Idaho,16,1992,55.88,39.21
649,Illinois,17,1992,61.32,44.31
650,Indiana,18,1992,60.38,44.57
651,Iowa,19,1992,57.28,40.78
652,Kansas,20,1992,66.49,46.44
653,Kentucky,21,1992,64.19,48.08
654,Louisiana,22,1992,75.18,58.38
655,Maine,23,1992,47.47,32.88
656,Maryland,24,1992,60.67,45.98
657,Massachusetts,25,1992,53.22,39.69
658,Michigan,26,1992,50.17,36.93
659,Minnesota,27,1992,49.88,33.54
660,Mississippi,28,1992,72.34,55.06
661,Missouri,29,1992,65.28,47.04
662,Montana,30,1992,54.9,37.66
663,Nebraska,31,1992,61.15,42.06
664,Nevada,32,1992,62.02,44.4
665,New Hampshire,33,1992,48.87,35.17
666,New Jersey,34,1992,59.06,44.18
667,New Mexico,35,1992,65.53,47.33
668,New York,36,1992,50.86,37.2
669,North Carolina,37,1992,67.11,50.96
670,North Dakota,38,1992,52.25,34.48
671,Ohio,39,1992,59.1,43.58
672,Oklahoma,40,1992,70.79,51.31
673,Oregon,41,1992,59.94,42.61
674,Pennsylvania,42,1992,55.65,40.45
675,Rhode Island,44,1992,55.39,41.26
676,South Carolina,45,1992,70.93,54.75
677,South Dakota,46,1992,57.95,39.41
678,Tennessee,47,1992,65.79,49.95
679,Texas,48,1992,76.6,57.02
680,Utah,49,1992,59.53,43.62
681,Vermont,50,1992,48.15,34.46
682,Virginia,51,1992,63.44,47.06
683,Washington,53,1992,57.86,42.41
684,West Virginia,54,1992,59.56,44.32
685,Wisconsin,55,1992,50.65,35.17
686,Wyoming,56,1992,53.7,36.79
687,Alabama,1,1993,71.56,55
